minimalny koszt; czas dzia³ania algorytmu[s]
5013;0.00791331
4227;0.502931
4227;1.00027
4227;1.50729
4227;2.00074
4227;2.50663
4227;3.00686
4227;3.50644
4227;4.00373
4227;4.50319
4227;5.0014
4227;5.50984
4227;6.00231
4227;6.50457
4227;7.0089
4227;7.50415
4227;8.00562
4227;8.50066
4227;9.00107
4227;9.50632
4227;10.0012
4227;10.5054
4227;11.0031
4227;11.5065
4227;12.0005
4227;12.5007
4227;13.0047
4227;13.5049
4227;14.0017
4227;14.5027
4227;15.004
